ts_code,name,management,custodian,fund_type,found_date,benchmark
001731.OF,广发百发大数据策略价值A,广发基金,兴业银行,混合型,20170616,沪深300指数收益率*50%+中证全债指数收益率*50%
673120.OF,西部利得新富A,西部利得基金,中国银河,混合型,20170616,沪深300指数收益率*50%+中证全债指数收益率*50%
004776.OF,鹏华金元宝,鹏华基金,中国建设银行,货币市场型,20170616,活期存款利率(税后)
004614.OF,鹏扬利泽A,鹏扬基金,中国工商银行,债券型,20170615,中债总财富(1-3年)指数收益率
004456.OF,兴银消费新趋势,兴银基金,平安银行,混合型,20170615,沪深300指数收益率*60%+中证综合债指数收益率*40%
004615.OF,鹏扬利泽C,鹏扬基金,中国工商银行,债券型,20170615,中债总财富(1-3年)指数收益率
004340.OF,泰康兴泰回报沪港深,泰康资产,招商银行,混合型,20170615,中债新综合财富(总值)指数收益率*75%+沪深300指数收益率*20%+金融机构人民币活期存款利率(税后)*5%
001579.OF,国泰大农业A,国泰基金,中国建设银行,股票型,20170615,中证大农业指数收益率*80%+中证综合债指数收益率*20%
004544.OF,嘉实稳华纯债A,嘉实基金,招商银行,债券型,20170614,中债总全价指数收益率
004517.OF,南方安康,南方基金,中国农业银行,混合型,20170614,上证国债指数收益率*85%+沪深300指数收益率*15%
160643.SZ,空天军工LOF,鹏华基金,中国工商银行,股票型,20170613,中证空天一体军工指数收益率*95%+银行活期存款利率(税后)*5%
002298.OF,招商招福宝A,招商基金,中信银行,货币市场型,20170613,人民币活期存款基准利率(税后)
002299.OF,招商招福宝B,招商基金,中信银行,货币市场型,20170613,人民币活期存款基准利率(税后)
004629.OF,国寿安保安瑞纯债,国寿安保基金,交通银行,债券型,20170612,中债综合(全价)指数收益率
001266.OF,国投瑞银招财,国投瑞银基金,中国银行,混合型,20170610,沪深300指数收益率*60%+中债综合指数收益率*40%
004183.OF,富国产业升级A,富国基金,中国建设银行,混合型,20170609,沪深300指数收益率*80%+中债综合全价指数收益率*20%
004119.OF,广发创新驱动,广发基金,中国工商银行,混合型,20170609,中证800指数收益率*65%+中证全债指数收益率*35%
001532.OF,华安文体健康主题A,华安基金,中国银行,混合型,20170608,中证800指数收益率*50%+中国债券总指数收益率*50%
001707.OF,诺安高端制造A,诺安基金,中国农业银行,股票型,20170608,沪深300指数*80%+中证全债指数*20%
004684.OF,鹏华盈余宝A,鹏华基金,中国建设银行,货币市场型,20170608,活期存款利率(税后)
004223.OF,金信多策略精选,金信基金,广州农商银行,混合型,20170608,沪深300指数收益率*55%+上证国债指数收益率*45%
001656.OF,农银汇理中国优势,农银汇理基金,中国工商银行,混合型,20170608,沪深300指数*65%+中证全债指数*35%
004701.OF,鹏华盈余宝B,鹏华基金,中国建设银行,货币市场型,20170608,活期存款利率(税后)
004498.OF,鹏华丰源,鹏华基金,招商银行,债券型,20170608,中债总指数收益率
003519.OF,万家鑫瑞E,万家基金,兴业银行,债券型,20170607,中证全债指数收益率
003834.OF,华夏能源革新A,华夏基金,中国建设银行,股票型,20170607,中证内地新能源指数收益率*90%+上证国债指数收益率*10%
004634.OF,前海联合泳涛A,新疆前海联合基金,招商证券,混合型,20170607,沪深300指数收益率*50%+中债综合全价指数收益率*50%
159951.SZ,中关村ETF,嘉实基金,中国工商银行,股票型,20170607,中关村A股指数收益率
004465.OF,万家玖盛9个月C,万家基金,广发银行,债券型,20170607,中债综合全价指数收益率*80%+一年期银行定期存款利率(税后)*20%
004464.OF,万家玖盛9个月A,万家基金,广发银行,债券型,20170607,中债综合全价指数收益率*80%+一年期银行定期存款利率(税后)*20%
003518.OF,万家鑫瑞A,万家基金,兴业银行,债券型,20170607,中证全债指数收益率
004746.OF,易方达上证50增强C,易方达基金,交通银行,股票型,20170606,上证50指数
004156.OF,中信保诚至泰中短债C,中信保诚基金,中信银行,债券型,20170606,中债综合财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%
004155.OF,中信保诚至泰中短债A,中信保诚基金,中信银行,债券型,20170606,中债综合财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%
004389.OF,大成惠明,大成基金,中国农业银行,债券型,20170606,中债综合指数收益率
004505.OF,博时新兴消费主题A,博时基金,中国银行,混合型,20170605,沪深300指数收益率*70%+中国债券总指数收益率*30%
004351.OF,汇丰晋信珠三角区域,汇丰晋信基金,中国建设银行,混合型,20170602,中证珠三角沿海区域发展主题指数*70%+同业存款利率(税后)*30%
001856.OF,易方达环保主题,易方达基金,中国建设银行,混合型,20170602,中证环保产业指数收益率*65%+一年期人民币定期存款利率(税后)*35%
004533.OF,民生加银中证港股通C,民生加银基金,中国建设银行,股票型,20170602,中证港股通高股息精选指数收益率(使用估值汇率折算)*95%+银行活期存款利率(税后)*5%
004586.OF,鹏扬汇利C,鹏扬基金,招商银行,债券型,20170602,中债综合指数收益率*90%+沪深300指数收益率*10%
004532.OF,民生加银中证港股通A,民生加银基金,中国建设银行,股票型,20170602,中证港股通高股息精选指数收益率(使用估值汇率折算)*95%+银行活期存款利率(税后)*5%
004585.OF,鹏扬汇利A,鹏扬基金,招商银行,债券型,20170602,中债综合指数收益率*90%+沪深300指数收益率*10%
004744.OF,易方达创业板ETF联接C,易方达基金,中国工商银行,股票型,20170602,创业板指数收益率*95%+活期存款利率(税后)*5%
002319.OF,大成一带一路,大成基金,中国农业银行,混合型,20170602,沪深300指数收益率*60%+中证综合债券指数收益率*40%
004742.OF,易方达深证100ETF联接C,易方达基金,中国银行,股票型,20170602,深证100价格指数收益率*95%+活期存款利率(税后)*5%
004427.OF,交银增利增强A,交银施罗德基金,中国建设银行,债券型,20170602,中债综合全价指数
004428.OF,交银增利增强C,交银施罗德基金,中国建设银行,债券型,20170602,中债综合全价指数
003459.OF,嘉实稳宏C,嘉实基金,中国工商银行,债券型,20170602,中债总全价指数收益率*90%+沪深300指数收益率*10%
003458.OF,嘉实稳宏A,嘉实基金,中国工商银行,债券型,20170602,中债总全价指数收益率*90%+沪深300指数收益率*10%
004743.OF,易方达上证中盘ETF联接C,易方达基金,中国工商银行,股票型,20170602,上证中盘指数收益率*95%+活期存款利率(税后)*5%
004604.OF,富国新活力A,富国基金,中国建设银行,混合型,20170601,中债综合全价指数收益率*80%+沪深300指数收益率*20%
004605.OF,富国新活力C,富国基金,中国建设银行,混合型,20170601,中债综合全价指数收益率*80%+沪深300指数收益率*20%
001879.OF,长城创业板指数增强A,长城基金,中国工商银行,股票型,20170601,创业板指数收益率*95%+银行活期存款利率(税后)*5%
004050.OF,华夏新锦升A,华夏基金,中国建设银行,混合型,20170531,沪深300指数收益率*50%+上证国债指数收益率*50%
004051.OF,华夏新锦升C,华夏基金,中国建设银行,混合型,20170531,沪深300指数收益率*50%+上证国债指数收益率*50%
160324.SZ,华夏磐晟LOF,华夏基金,中国银行,混合型,20170531,沪深300指数收益率*50%+上证国债指数收益率*50%
003994.OF,华富货币B,华富基金,中国建设银行,货币市场型,20170531,人民币一年期银行定期储蓄存款利率(税后)
004502.OF,中银如意宝A,中银基金,招商银行,货币市场型,20170526,活期存款利率(税后)
004481.OF,华宝第三产业A,华宝基金,中国工商银行,混合型,20170525,沪深300指数收益率*55%+上证国债指数收益率*45%
003766.OF,广发创业板ETF联接C,广发基金,中国工商银行,股票型,20170525,创业板指数收益率*95%+银行活期存款利率(税后)*5%
003765.OF,广发创业板ETF联接A,广发基金,中国工商银行,股票型,20170525,创业板指数收益率*95%+银行活期存款利率(税后)*5%
004227.OF,泰信鑫利A,泰信基金,中国银行,混合型,20170525,中证全债指数收益率*70%+沪深300指数收益率*30%
004228.OF,泰信鑫利C,泰信基金,中国银行,混合型,20170525,中证全债指数收益率*70%+沪深300指数收益率*30%
004503.OF,鹏华永泰18个月,鹏华基金,招商银行,债券型,20170525,中债总指数收益率
004699.OF,前海联合汇盈货币A,新疆前海联合基金,中国邮政储蓄银行,货币市场型,20170525,活期存款利率(税后)
004700.OF,前海联合汇盈货币B,新疆前海联合基金,中国邮政储蓄银行,货币市场型,20170525,活期存款利率(税后)
004205.OF,东方支柱产业,东方基金,中国建设银行,混合型,20170524,沪深300指数收益率*60%+中债总全价指数收益率*40%
004423.OF,华商研究精选A,华商基金,交通银行,混合型,20170524,中证800指数收益率*65%+上证国债指数收益率*35%
001969.OF,光大尊盈半年C,光大保德信基金,宁波银行,债券型,20170523,中债总全价指数收益率
001989.OF,南方纯元C,南方基金,招商银行,债券型,20170523,中债信用债总指数收益率
001988.OF,南方纯元A,南方基金,招商银行,债券型,20170523,中债信用债总指数收益率
001968.OF,光大尊盈半年A,光大保德信基金,宁波银行,债券型,20170523,中债总全价指数收益率
003939.OF,南方荣尊C,南方基金,中国工商银行,混合型,20170522,中债综合指数收益率*85%+沪深300指数收益率*15%
003938.OF,南方荣尊A,南方基金,中国工商银行,混合型,20170522,中债综合指数收益率*85%+沪深300指数收益率*15%
004120.OF,国富安享,国海富兰克林基金,交通银行,货币市场型,20170522,同期七天通知存款利率(税后)
004555.OF,南方和元A,南方基金,平安银行,债券型,20170519,中债信用债总指数
004556.OF,南方和元C,南方基金,平安银行,债券型,20170519,中债信用债总指数
004450.OF,嘉实前沿科技,嘉实基金,中国建设银行,股票型,20170519,中证800指数收益率*80%+中债总财富指数收益率*20%
001789.OF,国泰量化收益A,国泰基金,招商银行,混合型,20170519,沪深300指数收益率*60%+上证国债指数收益率*40%
004651.OF,长信利丰E,长信基金,中国农业银行,债券型,20170519,中证全债指数*90%+中证800指数*10%
000548.OF,鹏华聚财通,鹏华基金,广发银行,货币市场型,20170518,活期存款利率(税后)
004166.OF,东方价值挖掘A,东方基金,中国民生银行,混合型,20170517,沪深300指数收益率*60%+中债总全价指数收益率*40%
004404.OF,平安股息精选C,平安基金,中国银行,股票型,20170517,沪深300指数收益率*35%+恒生指数收益率(使用估值汇率折算)*35%+中证综合债券指数收益率*30%
004403.OF,平安股息精选A,平安基金,中国银行,股票型,20170517,沪深300指数收益率*35%+恒生指数收益率(使用估值汇率折算)*35%+中证综合债券指数收益率*30%
004193.OF,招商中证500指数增强C,招商基金,中国银行,股票型,20170517,中证500指数收益率*95%+同期银行活期存款利率(税后)*5%
004192.OF,招商中证500指数增强A,招商基金,中国银行,股票型,20170517,中证500指数收益率*95%+同期银行活期存款利率(税后)*5%
020022.OF,国泰策略价值,国泰基金,招商银行,混合型,20170516,沪深300指数收益率*60%+中证全债指数收益率*40%
004510.OF,九泰久盛量化先锋C,九泰基金,中国工商银行,混合型,20170516,沪深300指数收益率*80%+中国债券总指数收益率*20%
004457.OF,光大多策略智选,光大保德信基金,中国工商银行,混合型,20170516,中债总全价指数收益率*80%+沪深300指数收益率*20%
003841.OF,大成惠裕,大成基金,中国光大银行,债券型,20170515,中债综合指数
004676.OF,中信建投睿信C,中信建投基金,交通银行,混合型,20170515,年化收益率7%
004534.OF,汇添富年年益A,汇添富基金,中国建设银行,混合型,20170515,中债综合指数收益率*80%+沪深300指数收益率*20%
004535.OF,汇添富年年益C,汇添富基金,中国建设银行,混合型,20170515,中债综合指数收益率*80%+沪深300指数收益率*20%
004394.OF,华泰柏瑞量化创优,华泰柏瑞基金,中国建设银行,混合型,20170512,创业板指数收益率*90%+银行活期存款利率(税后)*10%
004320.OF,前海开源沪港深乐享生活,前海开源基金,中国建设银行,混合型,20170512,沪深300指数收益率*50%+中证全债指数收益率*30%+恒生指数收益率*20%
001746.OF,易方达瑞富E,易方达基金,浦发银行,混合型,20170512,中债新综合指数(财富)收益率*75%+沪深300指数收益率*25%
001745.OF,易方达瑞富I,易方达基金,浦发银行,混合型,20170512,中债新综合指数(财富)收益率*75%+沪深300指数收益率*25%
400013.OF,东方成长收益A,东方基金,中国邮政储蓄银行,混合型,20170511,中债总全价指数收益率*85%+沪深300指数收益率*15%
004263.OF,华安沪港深机会,华安基金,中国工商银行,混合型,20170510,中国债券总指数收益率*40%+中证800指数收益率*30%+恒生综合指数收益率*30%
004512.OF,海富通沪深300指数增强C,海富通基金,中国银行,股票型,20170510,沪深300指数收益率*95%+银行人民币活期存款利率*5%(税后)
004513.OF,海富通沪深300指数增强A,海富通基金,中国银行,股票型,20170510,沪深300指数收益率*95%+银行人民币活期存款利率*5%(税后)
004636.OF,中信建投智信物联网C,中信建投基金,中信银行,混合型,20170510,沪深300指数收益率*60%+中债综合指数收益率*40%
004635.OF,中信建投睿利C,中信建投基金,中国工商银行,混合型,20170510,沪深300指数收益率*60%+中债综合指数收益率*40%
163111.SZ,申万中小LOF,申万菱信基金,中国农业银行,股票型,20170509,中小企业100指数收益率*95%+银行同业存款利率*5%
004569.OF,招商制造业转型C,招商基金,中国银行,混合型,20170508,沪深300指数收益率*60%+中债综合指数收益率*40%
004098.OF,前海开源股息率50强,前海开源基金,中国建设银行,股票型,20170508,恒生指数收益率*80%+中证全债指数收益率*20%
002064.OF,华富产业升级,华富基金,中国建设银行,混合型,20170508,沪深300指数收益率*65%+上证国债指数收益率*35%
004099.OF,前海开源沪港深景气行业,前海开源基金,中国建设银行,混合型,20170508,沪深300指数收益率*35%+恒生指数收益率*35%+中证全债指数收益率*30%
003997.OF,泓德添利A,泓德基金,中国民生银行,货币市场型,20170504,同期七天通知存款利率(税后)
004495.OF,博时量化平衡,博时基金,中国工商银行,混合型,20170504,中债综合指数(总财富)收益率*80%+沪深300指数收益率*20%
003998.OF,泓德添利B,泓德基金,中国民生银行,货币市场型,20170504,同期七天通知存款利率(税后)
004480.OF,华宝智慧产业,华宝基金,中国建设银行,混合型,20170504,沪深300指数收益率*55%+上证国债指数收益率*45%
004397.OF,长盛信息安全量化策略,长盛基金,中国银行,混合型,20170503,沪深300指数收益率*50%+中证综合债指数收益率*50%
002161.OF,银华万物互联,银华基金,中国银行,混合型,20170502,中证互联网指数收益率*50%+中证全债指数收益率*50%
004253.OF,国泰黄金ETF联接C,国泰基金,中国工商银行,商品型,20170502,上海黄金交易所挂盘交易的Au99.99合约收益率*95%+银行活期存款收益率(税后)*5%
001648.OF,工银瑞信新价值A,工银瑞信基金,中国农业银行,混合型,20170427,沪深300指数收益率*55%+一年期人民币定期存款基准利率(税后)*45%
004250.OF,银河量化优选,银河基金,中国工商银行,混合型,20170427,中证500指数收益率*80%+中证综合债券指数收益率*20%
166402.SZ,基本面100LOF,浦银安盛基金,招商证券,股票型,20170427,中证锐联沪港深基本面100指数收益率*95%+银行人民币活期存款利率(税后)*5%
161037.SZ,高端制造LOF,富国基金,中国建设银行,股票型,20170427,中证高端制造主题指数收益率*95%+银行人民币活期存款利率(税后)*5%
